wavelength,cool_giant,solar_dwarf,a_star,hot_star
1861.77285726181,1.26080292879799e-22,0.000519024926280879,0.525957289528928,0.452060910135246
1865.37140308989,1.41379890276179e-22,0.00055067077578024,0.533943752120661,0.459389579853896
1868.97690440237,1.5721720404077e-22,0.000569976335178783,0.537284574452749,0.473503708016692
1872.58937464324,1.72954439344418e-22,0.00058522744962824,0.539199373985884,0.491610265859221
1876.20882728245,1.90929834961757e-22,0.000601592725310846,0.54071799640207,0.494025231892159
1879.835275816,2.1168066231572e-22,0.000618819329197276,0.541539973468344,0.477797099748694
1883.46873376597,2.32280447861153e-22,0.000634895027261348,0.542168497610218,0.45989417664514
1887.10921468058,2.60514467576693e-22,0.000676211192745513,0.545680216549689,0.446700510001964
1890.75673213424,2.95257266608727e-22,0.00074064830379269,0.55205557017225,0.437037011062814
1894.41129972759,3.30376147080173e-22,0.000792240732598986,0.555038544166682,0.429912446469978
1898.07293108757,3.70590985818167e-22,0.000801247973959881,0.545141748079519,0.435452063989031
1901.74163986743,4.13282903370745e-22,0.000782324550327122,0.526285175841472,0.449360932440134
1905.41743974685,4.60295444930037e-22,0.000786108645866328,0.519185758789417,0.455169953330784
1909.10034443192,5.15731313996321e-22,0.000823750949578914,0.530897857873494,0.448505042204818
1912.79036765524,5.72877005085477e-22,0.000874375200260002,0.549791684780501,0.437298289570822
1916.48752317593,6.39918518738636e-22,0.000908415419551328,0.559482703940481,0.429974452007885
1920.19182477974,7.17400194163334e-22,0.000927541555479052,0.56080340739456,0.425966798899534
1923.90328627905,7.95951175770245e-22,0.000942755487429787,0.560809569395951,0.422431585227595
1927.62192151291,8.86052389163667e-22,0.000896312317167205,0.543090480001818,0.425010416930368
1931.34774434716,9.82533159496943e-22,0.000801387229185291,0.511655340832734,0.431881913403664
1935.08076867441,1.09329222379455e-21,0.000774983116756982,0.4974604074451,0.437141821803097
1938.82100841416,1.2396020735221e-21,0.000892961672426817,0.519114697910991,0.43992078172477
1942.56847751276,1.40011902596953e-21,0.00107856086168974,0.557573048830526,0.442293412942172
1946.32318994357,1.56553489437857e-21,0.00118504007276521,0.576345501269768,0.437905516217912
1950.08515970693,1.73852441594681e-21,0.00121642257940691,0.576433352188681,0.426090981025108
1953.85440083025,1.91313326451374e-21,0.00123888367495244,0.574250138136242,0.413542086451285
1957.63092736803,2.1428418088763e-21,0.00131163310477196,0.580511296870642,0.416474478007448
1961.41475340197,2.40819224977106e-21,0.00141464152466041,0.591772382678603,0.429125489287838
1965.20589304098,2.66440707422222e-21,0.00151923246991208,0.603208718067406,0.440683193266387
